material_id,subject,subcategory,grade_levels,material_type,school_type,content_type,is_bundle,price,author_category,bestseller_rating,total_pages,engagement_score,created_days_ago,author_id,title,grade_levels_str
mat_000041,Fachunterricht,Geschichte,"['8. Klasse', '9. Klasse', '10. Klasse']",Unterrichtsreihen,Sek I Mittlere Schulform,hybrid,0,1.45,Dragon,164.37020613601698,9,4.2610219211842395,815,author_0709,Geschichte - Unterrichtsreihen,"8. Klasse, 9. Klasse, 10. Klasse"
mat_000042,Kunst,Basteln,['2. Klasse'],Stundenentwürfe,Förderunterricht,interactive,0,8.99,Bear,26.331801963990557,12,4.19290859744897,494,author_0004,Basteln - Stundenentwürfe,2. Klasse
mat_000043,Deutsch,Schreiben,"['2. Klasse', '3. Klasse', '4. Klasse', '5. Klasse']",Test,Sek II,interactive,1,4.44519537668247,Cub,84.38468523861012,49,1.5095416817568064,610,author_0268,Schreiben - Sparpaket,"2. Klasse, 3. Klasse, 4. Klasse, 5. Klasse"
mat_000044,Deutsch,Anfangsunterricht,"['5. Klasse', '6. Klasse', '7. Klasse']",Bildkarten,Berufsschule,hybrid,0,2.16,Cub,159.256553527704,6,3.9645675581563986,98,author_0055,Anfangsunterricht - Bildkarten,"5. Klasse, 6. Klasse, 7. Klasse"
mat_000045,Fachunterricht,Biologie,['4. Klasse'],Stundenentwürfe,Sek I Mittlere Schulform,interactive,1,27.66235748145735,Innovators,8.401536396117153,27,2.6001159806283525,817,author_0957,Biologie - Sparpaket,4. Klasse
mat_000046,Mathematik,Stochastik,"['8. Klasse', '9. Klasse']",Stundenentwürfe,Förderunterricht,standalone,0,2.65,Bear,50.6995304576741,10,0.40642685685661667,137,author_0883,Stochastik - Stundenentwürfe,"8. Klasse, 9. Klasse"
mat_000047,Deutsch,Sprache untersuchen,"['2. Klasse', '3. Klasse', '4. Klasse', '5. Klasse']",Interaktives Material,Berufsschule,interactive,0,3.58,Cub,51.7180631869369,15,2.8013090680220447,546,author_0414,Sprache untersuchen - Interaktives Material,"2. Klasse, 3. Klasse, 4. Klasse, 5. Klasse"
mat_000048,Englisch,Sprechen,"['3. Klasse', '4. Klasse']",Mal- und Bastelvorlagen,Förderunterricht,hybrid,0,9.94,Dragon,25.702450131147042,11,1.3519626675092098,432,author_0705,Sprechen - Mal- und Bastelvorlagen,"3. Klasse, 4. Klasse"
mat_000049,Fachunterricht,Biologie,['9. Klasse'],Spiele,Sek I Gymnasium,interactive,1,5.8872252505753675,Dragon,4.683181932050347,91,2.1676744243673105,259,author_0888,Biologie - Sparpaket,9. Klasse
mat_000050,Mathematik,Grundrechenarten,"['10. Klasse', '11. Klasse', '12. Klasse', '13. Klasse']",Arbeitsblätter,Sek II,interactive,0,2.78,Dragon,59.53977012106687,8,2.4821590623010454,921,author_0738,Grundrechenarten - Arbeitsblätter,"10. Klasse, 11. Klasse, 12. Klasse, 13. Klasse"
mat_000051,Kunst,Theorie,"['8. Klasse', '9. Klasse', '10. Klasse']",Klassenarbeiten,Sek II,interactive,0,7.15,Cub,23.315603931530806,7,3.291109151535531,349,author_0115,Theorie - Klassenarbeiten,"8. Klasse, 9. Klasse, 10. Klasse"
mat_000052,Deutsch,Sprache untersuchen,['2. Klasse'],Spiele,Sek I Mittlere Schulform,standalone,0,11.6,Dragon,79.83250668763662,13,2.9201874729150883,82,author_0356,Sprache untersuchen - Spiele,2. Klasse
mat_000053,Deutsch,Anfangsunterricht,"['7. Klasse', '8. Klasse']",Unterrichtsreihen,Sek II,hybrid,0,5.04,Bear,6.156079967033821,5,3.2149072792601436,572,author_0335,Anfangsunterricht - Unterrichtsreihen,"7. Klasse, 8. Klasse"
mat_000054,Fachunterricht,Religion,"['4. Klasse', '5. Klasse', '6. Klasse']",Quiz,Sek I Gymnasium,hybrid,1,10.717322021743637,Eggs,73.6982343108732,45,0.5845983640702214,1057,author_0646,Religion - Sparpaket,"4. Klasse, 5. Klasse, 6. Klasse"
mat_000055,Englisch,Wortschatz,['2. Klasse'],Videos,Grundschule,standalone,1,57.99782428850865,Eggs,96.27932509288293,70,4.574095648586812,84,author_0774,Wortschatz - Sparpaket,2. Klasse
mat_000056,Englisch,Leseverstehen,"['12. Klasse', '13. Klasse']",Stationenlernen,Förderunterricht,hybrid,0,5.44,Eggs,52.72979294379948,13,3.8669313400494354,734,author_0206,Leseverstehen - Stationenlernen,"12. Klasse, 13. Klasse"
mat_000057,Mathematik,Stochastik,['9. Klasse'],Stationenlernen,Kita / Vorschule,interactive,0,7.9,Cub,44.6121039980764,15,3.771491611320097,92,author_0660,Stochastik - Stationenlernen,9. Klasse
mat_000058,Mathematik,Geometrie,"['2. Klasse', '3. Klasse', '4. Klasse']",Bildkarten,Kita / Vorschule,hybrid,0,2.16,Dragon,4.305600046954757,9,3.9071124590670547,223,author_0416,Geometrie - Bildkarten,"2. Klasse, 3. Klasse, 4. Klasse"
mat_000059,Mathematik,Geometrie,"['8. Klasse', '9. Klasse', '10. Klasse', '11. Klasse']",Unterrichtsreihen,Sek I Gymnasium,hybrid,0,9.06,Bear,33.121049850507845,8,5.3100416824287535,122,author_0147,Geometrie - Unterrichtsreihen,"8. Klasse, 9. Klasse, 10. Klasse, 11. Klasse"
mat_000060,Kunst,Epochen,['7. Klasse'],Präsentationen/Tafelbilder,Förderunterricht,interactive,0,15.7,Eggs,52.95943834793938,7,4.74004747648792,159,author_0954,Epochen - Präsentationen/Tafelbilder,7. Klasse
mat_000061,Fachunterricht,Erdkunde,"['12. Klasse', '13. Klasse']",Bildkarten,Berufsschule,hybrid,1,15.72539290279974,Bear,28.867454051732977,91,4.7785426858878814,940,author_0526,Erdkunde - Sparpaket,"12. Klasse, 13. Klasse"
mat_000062,Fachunterricht,Religion,"['6. Klasse', '7. Klasse']",Bildkarten,Sek II,interactive,0,5.52,Bear,54.327458922967594,6,10.021177094058652,919,author_0303,Religion - Bildkarten,"6. Klasse, 7. Klasse"
mat_000063,Englisch,Wortschatz,['10. Klasse'],Fördermaterial/Inklusion,Grundschule,hybrid,0,15.33,Cub,44.322565818175256,13,2.5699580256757493,1025,author_0119,Wortschatz - Fördermaterial/Inklusion,10. Klasse
mat_000064,Englisch,Sprechen,"['5. Klasse', '6. Klasse', '7. Klasse', '8. Klasse']",Arbeitsblätter,Kita / Vorschule,interactive,0,3.12,Eggs,215.73755422666895,8,1.5520604657957542,308,author_0336,Sprechen - Arbeitsblätter,"5. Klasse, 6. Klasse, 7. Klasse, 8. Klasse"
mat_000065,Deutsch,Schreiben,"['8. Klasse', '9. Klasse', '10. Klasse']",Unterrichtsreihen,Sek II,standalone,0,6.19,Eggs,13.365306838166912,7,3.830699017340143,987,author_0840,Schreiben - Unterrichtsreihen,"8. Klasse, 9. Klasse, 10. Klasse"
mat_000066,Mathematik,Stochastik,"['3. Klasse', '4. Klasse']",Interaktives Material,Berufsschule,standalone,0,5.12,Bear,21.429548104529,9,7.594067620272884,19,author_0454,Stochastik - Interaktives Material,"3. Klasse, 4. Klasse"
mat_000067,Deutsch,Schreiben,"['7. Klasse', '8. Klasse', '9. Klasse']",Stundenentwürfe,Sek II,interactive,0,7.81,Eggs,52.35908906293584,10,1.1100190783243322,962,author_0942,Schreiben - Stundenentwürfe,"7. Klasse, 8. Klasse, 9. Klasse"
mat_000068,Mathematik,Funktionen,"['8. Klasse', '9. Klasse']",Quiz,Grundschule,hybrid,1,19.765910707902098,Dragon,5.765960397586376,55,3.678473423256085,324,author_0789,Funktionen - Sparpaket,"8. Klasse, 9. Klasse"
mat_000069,Deutsch,Anfangsunterricht,"['5. Klasse', '6. Klasse']",Merkblätter,Berufsschule,interactive,1,19.87064441282575,Cub,43.48611040782828,30,6.432840159806668,952,author_0036,Anfangsunterricht - Sparpaket,"5. Klasse, 6. Klasse"
mat_000070,Kunst,Epochen,"['11. Klasse', '12. Klasse']",Fördermaterial/Inklusion,Förderunterricht,hybrid,1,9.925939028349756,Dragon,12.943703291825011,33,1.8792529319256255,993,author_0439,Epochen - Sparpaket,"11. Klasse, 12. Klasse"
mat_000071,Englisch,Schreiben,"['7. Klasse', '8. Klasse', '9. Klasse']",Präsentationen/Tafelbilder,Kita / Vorschule,hybrid,0,5.6,Bear,46.709248666195904,10,6.543303962613153,700,author_0302,Schreiben - Präsentationen/Tafelbilder,"7. Klasse, 8. Klasse, 9. Klasse"
mat_000072,Englisch,Schreiben,"['10. Klasse', '11. Klasse', '12. Klasse']",Quiz,Förderunterricht,standalone,0,10.84,Eggs,112.30592562327945,6,3.9741363537956707,67,author_0812,Schreiben - Quiz,"10. Klasse, 11. Klasse, 12. Klasse"
mat_000073,Fachunterricht,Chemie,['6. Klasse'],Unterrichtsreihen,Förderunterricht,hybrid,0,1.29,Innovators,29.561340378452478,9,0.20850260656326888,627,author_0104,Chemie - Unterrichtsreihen,6. Klasse
mat_000074,Fachunterricht,Erdkunde,"['1. Klasse', '2. Klasse', '3. Klasse', '4. Klasse']",Klassenarbeiten,Berufsschule,standalone,0,3.01,Eggs,77.53533958853458,6,1.864238319775475,770,author_0987,Erdkunde - Klassenarbeiten,"1. Klasse, 2. Klasse, 3. Klasse, 4. Klasse"
mat_000075,Mathematik,Grundrechenarten,"['3. Klasse', '4. Klasse']",Merkblätter,Berufsschule,interactive,1,7.148493216737924,Dragon,8.822792368791314,48,5.05992454755522,578,author_0859,Grundrechenarten - Sparpaket,"3. Klasse, 4. Klasse"
mat_000076,Kunst,Theorie,"['9. Klasse', '10. Klasse']",Unterrichtsreihen,Kita / Vorschule,standalone,1,14.187575188870397,Innovators,33.38000702741247,48,3.481752717788663,92,author_0653,Theorie - Sparpaket,"9. Klasse, 10. Klasse"
mat_000077,Deutsch,Anfangsunterricht,['6. Klasse'],Quiz,Sek II,interactive,0,6.85,Bear,8.24519757772232,6,2.079523277032712,190,author_0494,Anfangsunterricht - Quiz,6. Klasse
mat_000078,Englisch,Schreiben,"['4. Klasse', '5. Klasse']",Test,Kita / Vorschule,standalone,0,3.23,Cub,48.89445714095118,9,6.155578038382506,386,author_0574,Schreiben - Test,"4. Klasse, 5. Klasse"
mat_000079,Englisch,Sprechen,['5. Klasse'],Experimente,Förderunterricht,hybrid,0,8.25,Bear,19.54117075641313,5,0.8805227567044951,308,author_0768,Sprechen - Experimente,5. Klasse
mat_000080,Fachunterricht,Chemie,['2. Klasse'],Merkblätter,Sek I Gymnasium,hybrid,0,2.44,Cub,25.08307700792891,11,3.110396959141532,802,author_0776,Chemie - Merkblätter,2. Klasse
mat_000081,Englisch,Grammatik,"['12. Klasse', '13. Klasse']",Test,Sek II,interactive,0,9.37,Innovators,29.284022097314217,6,3.3592804239436345,366,author_0228,Grammatik - Test,"12. Klasse, 13. Klasse"
mat_000082,Englisch,Schreiben,"['7. Klasse', '8. Klasse', '9. Klasse']",Stundenentwürfe,Sek I Gymnasium,interactive,0,2.9,Eggs,53.98502050167564,6,5.159518594927449,946,author_0963,Schreiben - Stundenentwürfe,"7. Klasse, 8. Klasse, 9. Klasse"
mat_000083,Mathematik,Stochastik,"['9. Klasse', '10. Klasse']",Klassenarbeiten,Kita / Vorschule,hybrid,0,12.79,Dragon,19.44629466277692,8,1.6182761734320867,846,author_0124,Stochastik - Klassenarbeiten,"9. Klasse, 10. Klasse"
mat_000084,Deutsch,Lesen,['4. Klasse'],Videos,Sek I Gymnasium,standalone,0,5.27,Cub,0.6398208000343096,12,2.9680076145528984,534,author_0860,Lesen - Videos,4. Klasse
mat_000085,Fachunterricht,Religion,['13. Klasse'],Präsentationen/Tafelbilder,Förderunterricht,interactive,1,12.30832536774712,Cub,8.165733342396507,24,6.647349432313773,136,author_0362,Religion - Sparpaket,13. Klasse
mat_000086,Kunst,Epochen,"['4. Klasse', '5. Klasse', '6. Klasse']",Spiele,Sek I Mittlere Schulform,hybrid,0,5.28,Cub,67.80728190259082,10,5.957022747715256,1015,author_0070,Epochen - Spiele,"4. Klasse, 5. Klasse, 6. Klasse"
mat_000087,Englisch,Sprechen,['13. Klasse'],Merkblätter,Sek I Gymnasium,hybrid,1,31.244167917690284,Bear,24.84002997279657,30,2.1018300686165343,336,author_0698,Sprechen - Sparpaket,13. Klasse
mat_000088,Deutsch,Schreiben,"['12. Klasse', '13. Klasse']",Bildkarten,Sek I Mittlere Schulform,standalone,0,34.69,Eggs,59.44036066046296,10,5.754436862555284,161,author_0401,Schreiben - Bildkarten,"12. Klasse, 13. Klasse"
mat_000089,Kunst,Werken,"['11. Klasse', '12. Klasse', '13. Klasse']",Interaktives Material,Berufsschule,interactive,1,19.689147457057558,Cub,42.416684810502254,30,2.147883123340289,563,author_0757,Werken - Sparpaket,"11. Klasse, 12. Klasse, 13. Klasse"
mat_000090,Deutsch,Sprache untersuchen,['5. Klasse'],Merkblätter,Kita / Vorschule,standalone,0,8.31,Cub,7.163502844895133,9,5.728393501329538,926,author_0408,Sprache untersuchen - Merkblätter,5. Klasse
mat_000091,Kunst,Theorie,['12. Klasse'],Test,Sek I Mittlere Schulform,interactive,1,32.41582101809251,Eggs,15.869258782709739,30,3.6027257177993506,1094,author_0639,Theorie - Sparpaket,12. Klasse
mat_000092,Kunst,Epochen,['12. Klasse'],Spiele,Berufsschule,standalone,0,1.81,Innovators,7.830647993099954,8,1.9982318589894708,598,author_0289,Epochen - Spiele,12. Klasse
mat_000093,Mathematik,Zahlen & Operationen,['12. Klasse'],Experimente,Sek I Mittlere Schulform,standalone,0,16.5,Cub,47.453631847759674,7,3.025296561953151,588,author_0344,Zahlen & Operationen - Experimente,12. Klasse
mat_000094,Kunst,Basteln,"['3. Klasse', '4. Klasse']",Interaktives Material,Kita / Vorschule,interactive,1,25.03853936223672,Cub,71.02876845329871,25,9.316740527316783,66,author_0921,Basteln - Sparpaket,"3. Klasse, 4. Klasse"
mat_000095,Kunst,Malen & Zeichnen,['3. Klasse'],Stationenlernen,Förderunterricht,interactive,1,28.64086866928461,Cub,74.71889591691858,48,6.568390674772511,387,author_0877,Malen & Zeichnen - Sparpaket,3. Klasse
mat_000096,Englisch,Grammatik,"['7. Klasse', '8. Klasse']",Quiz,Sek II,interactive,0,7.58,Dragon,171.72097440556524,9,1.56639529434254,131,author_0353,Grammatik - Quiz,"7. Klasse, 8. Klasse"
mat_000097,Kunst,Malen & Zeichnen,"['10. Klasse', '11. Klasse', '12. Klasse']",Videos,Berufsschule,standalone,1,15.416949709925124,Cub,17.58364384970952,60,2.0147576364287887,307,author_0943,Malen & Zeichnen - Sparpaket,"10. Klasse, 11. Klasse, 12. Klasse"
mat_000098,Mathematik,Grundrechenarten,"['11. Klasse', '12. Klasse', '13. Klasse']",Videos,Förderunterricht,interactive,0,16.66,Eggs,56.37799722553777,8,8.29725089899129,143,author_0191,Grundrechenarten - Videos,"11. Klasse, 12. Klasse, 13. Klasse"
mat_000099,Fachunterricht,Geschichte,"['5. Klasse', '6. Klasse', '7. Klasse']",Videos,Sek I Gymnasium,hybrid,1,31.66849670338812,Eggs,82.3559584463417,25,2.446703356795094,142,author_0612,Geschichte - Sparpaket,"5. Klasse, 6. Klasse, 7. Klasse"
mat_000100,Englisch,Leseverstehen,"['9. Klasse', '10. Klasse']",Spiele,Berufsschule,hybrid,1,4.822298069444024,Eggs,61.496733518703536,42,0.5885565608781413,821,author_0739,Leseverstehen - Sparpaket,"9. Klasse, 10. Klasse"
mat_000101,Kunst,Basteln,"['8. Klasse', '9. Klasse', '10. Klasse', '11. Klasse']",Unterrichtsreihen,Kita / Vorschule,standalone,0,6.84,Dragon,10.248618804199438,5,1.774994015649359,1013,author_0201,Basteln - Unterrichtsreihen,"8. Klasse, 9. Klasse, 10. Klasse, 11. Klasse"
mat_000102,Fachunterricht,Biologie,"['1. Klasse', '2. Klasse']",Unterrichtsreihen,Kita / Vorschule,standalone,0,4.61,Eggs,120.77457785612602,7,5.066037896984097,348,author_0540,Biologie - Unterrichtsreihen,"1. Klasse, 2. Klasse"
mat_000103,Kunst,Werken,"['6. Klasse', '7. Klasse']",Bildkarten,Grundschule,hybrid,0,11.7,Innovators,15.664282957463563,4,5.879676650626694,362,author_0449,Werken - Bildkarten,"6. Klasse, 7. Klasse"
mat_000104,Mathematik,Zahlen & Operationen,"['3. Klasse', '4. Klasse']",Spiele,Berufsschule,interactive,0,5.28,Cub,44.68580354890314,9,2.185316273300156,817,author_0553,Zahlen & Operationen - Spiele,"3. Klasse, 4. Klasse"
mat_000105,Mathematik,Zahlen & Operationen,['7. Klasse'],Test,Kita / Vorschule,interactive,0,4.09,Bear,246.80078709890552,9,2.2351727097895147,727,author_0689,Zahlen & Operationen - Test,7. Klasse
mat_000106,Kunst,Theorie,['4. Klasse'],Videos,Kita / Vorschule,interactive,0,5.04,Eggs,45.356827831603056,12,4.6407109979497365,387,author_0912,Theorie - Videos,4. Klasse
mat_000107,Deutsch,Lesen,"['12. Klasse', '13. Klasse']",Stundenentwürfe,Sek I Mittlere Schulform,standalone,0,1.9,Cub,120.4721346484759,9,7.13352693579931,195,author_0156,Lesen - Stundenentwürfe,"12. Klasse, 13. Klasse"
mat_000108,Kunst,Malen & Zeichnen,"['8. Klasse', '9. Klasse']",Mal- und Bastelvorlagen,Grundschule,interactive,0,4.98,Bear,58.30255353370436,7,3.4629902015803222,1007,author_0479,Malen & Zeichnen - Mal- und Bastelvorlagen,"8. Klasse, 9. Klasse"
mat_000109,Englisch,Leseverstehen,['6. Klasse'],Quiz,Sek II,hybrid,1,9.618271073697073,Bear,41.01363613631819,49,3.0468652722528073,262,author_0827,Leseverstehen - Sparpaket,6. Klasse
mat_000110,Deutsch,Anfangsunterricht,"['5. Klasse', '6. Klasse', '7. Klasse']",Experimente,Sek I Gymnasium,standalone,0,3.95,Cub,263.51539654068443,5,3.2862969339846857,365,author_0854,Anfangsunterricht - Experimente,"5. Klasse, 6. Klasse, 7. Klasse"
