user_id,primary_subject,primary_grades,primary_grades_str,secondary_subjects,secondary_subjects_str,school_type,price_sensitivity,engagement_style,experience_level,days_since_registration,avg_monthly_purchases,preferred_material_types
user_000013,Mathematik,"['1. Klasse', '2. Klasse']","1. Klasse, 2. Klasse",[],,Sek I Gymnasium,medium,focused,expert,524,6,"['Unterrichtsreihen', 'Präsentationen/Tafelbilder', 'Stundenentwürfe']"
user_000014,Englisch,"['11. Klasse', '12. Klasse']","11. Klasse, 12. Klasse","['Kunst', 'Deutsch']","Kunst, Deutsch",Grundschule,high,browser,experienced,652,3,"['Spiele', 'Quiz', 'Videos']"
user_000015,Deutsch,"['4. Klasse', '5. Klasse']","4. Klasse, 5. Klasse",['Mathematik'],Mathematik,Berufsschule,high,focused,experienced,547,2,"['Fördermaterial/Inklusion', 'Mal- und Bastelvorlagen', 'Test']"
user_000016,Deutsch,"['10. Klasse', '11. Klasse']","10. Klasse, 11. Klasse",['Kunst'],Kunst,Kita / Vorschule,medium,focused,expert,618,6,"['Bildkarten', 'Klassenarbeiten', 'Stationenlernen', 'Videos']"
user_000017,Deutsch,"['2. Klasse', '3. Klasse']","2. Klasse, 3. Klasse",[],,Sek I Mittlere Schulform,medium,browser,novice,476,5,"['Fördermaterial/Inklusion', 'Stundenentwürfe', 'Klassenarbeiten']"
user_000018,Englisch,"['7. Klasse', '8. Klasse']","7. Klasse, 8. Klasse","['Mathematik', 'Deutsch']","Mathematik, Deutsch",Sek II,high,browser,experienced,235,7,"['Unterrichtsreihen', 'Stundenentwürfe']"
user_000019,Mathematik,"['1. Klasse', '2. Klasse']","1. Klasse, 2. Klasse",['Kunst'],Kunst,Grundschule,medium,focused,novice,355,5,"['Fördermaterial/Inklusion', 'Interaktives Material', 'Mal- und Bastelvorlagen']"
user_000020,Englisch,"['10. Klasse', '11. Klasse']","10. Klasse, 11. Klasse",['Fachunterricht'],Fachunterricht,Grundschule,high,focused,novice,390,5,"['Videos', 'Unterrichtsreihen', 'Interaktives Material']"
user_000021,Englisch,"['11. Klasse', '12. Klasse']","11. Klasse, 12. Klasse",[],,Berufsschule,high,browser,novice,526,3,"['Interaktives Material', 'Stundenentwürfe', 'Präsentationen/Tafelbilder']"
user_000022,Englisch,"['5. Klasse', '6. Klasse']","5. Klasse, 6. Klasse",['Deutsch'],Deutsch,Sek I Gymnasium,high,power_user,novice,580,2,"['Präsentationen/Tafelbilder', 'Klassenarbeiten']"
user_000023,Kunst,"['9. Klasse', '10. Klasse']","9. Klasse, 10. Klasse","['Englisch', 'Fachunterricht']","Englisch, Fachunterricht",Förderunterricht,high,focused,expert,578,3,"['Interaktives Material', 'Test', 'Klassenarbeiten']"
user_000024,Fachunterricht,['12. Klasse'],12. Klasse,[],,Berufsschule,low,focused,expert,401,5,"['Bildkarten', 'Stationenlernen', 'Fördermaterial/Inklusion', 'Stundenentwürfe']"
user_000025,Englisch,"['5. Klasse', '6. Klasse']","5. Klasse, 6. Klasse",[],,Grundschule,medium,browser,experienced,298,2,"['Merkblätter', 'Arbeitsblätter', 'Fördermaterial/Inklusion']"
user_000026,Fachunterricht,['1. Klasse'],1. Klasse,['Englisch'],Englisch,Grundschule,medium,power_user,experienced,572,4,"['Experimente', 'Klassenarbeiten', 'Stationenlernen']"
user_000027,Englisch,"['5. Klasse', '6. Klasse']","5. Klasse, 6. Klasse","['Fachunterricht', 'Mathematik']","Fachunterricht, Mathematik",Sek II,low,focused,experienced,619,5,"['Stundenentwürfe', 'Quiz', 'Mal- und Bastelvorlagen']"
user_000028,Fachunterricht,"['1. Klasse', '2. Klasse']","1. Klasse, 2. Klasse",['Kunst'],Kunst,Förderunterricht,medium,power_user,experienced,204,4,"['Präsentationen/Tafelbilder', 'Videos', 'Quiz', 'Fördermaterial/Inklusion']"
user_000029,Fachunterricht,"['7. Klasse', '8. Klasse']","7. Klasse, 8. Klasse",[],,Grundschule,low,power_user,experienced,479,4,"['Quiz', 'Arbeitsblätter']"
user_000030,Mathematik,"['7. Klasse', '8. Klasse']","7. Klasse, 8. Klasse",[],,Förderunterricht,low,browser,experienced,359,4,"['Interaktives Material', 'Merkblätter', 'Stundenentwürfe']"
user_000031,Deutsch,['12. Klasse'],12. Klasse,['Fachunterricht'],Fachunterricht,Berufsschule,medium,power_user,expert,451,5,"['Spiele', 'Experimente', 'Stationenlernen', 'Unterrichtsreihen']"
user_000032,Fachunterricht,"['3. Klasse', '4. Klasse']","3. Klasse, 4. Klasse","['Mathematik', 'Deutsch']","Mathematik, Deutsch",Sek I Gymnasium,high,browser,expert,129,4,"['Test', 'Experimente', 'Klassenarbeiten']"
user_000033,Deutsch,['12. Klasse'],12. Klasse,['Kunst'],Kunst,Berufsschule,medium,focused,experienced,599,5,"['Stationenlernen', 'Quiz']"
user_000034,Englisch,"['8. Klasse', '9. Klasse']","8. Klasse, 9. Klasse","['Mathematik', 'Fachunterricht']","Mathematik, Fachunterricht",Förderunterricht,medium,browser,novice,179,3,"['Klassenarbeiten', 'Bildkarten', 'Stundenentwürfe', 'Fördermaterial/Inklusion']"
user_000035,Kunst,"['5. Klasse', '6. Klasse']","5. Klasse, 6. Klasse",[],,Sek I Gymnasium,medium,focused,novice,489,2,"['Spiele', 'Unterrichtsreihen', 'Fördermaterial/Inklusion', 'Interaktives Material']"
user_000036,Kunst,"['10. Klasse', '11. Klasse', '12. Klasse']","10. Klasse, 11. Klasse, 12. Klasse",[],,Sek I Mittlere Schulform,high,focused,experienced,522,3,"['Arbeitsblätter', 'Quiz']"
user_000037,Englisch,"['5. Klasse', '6. Klasse']","5. Klasse, 6. Klasse",[],,Berufsschule,high,power_user,expert,671,3,"['Stationenlernen', 'Mal- und Bastelvorlagen', 'Experimente', 'Test']"
user_000038,Deutsch,"['3. Klasse', '4. Klasse']","3. Klasse, 4. Klasse","['Mathematik', 'Englisch']","Mathematik, Englisch",Sek I Mittlere Schulform,medium,browser,novice,275,4,"['Stationenlernen', 'Präsentationen/Tafelbilder', 'Arbeitsblätter', 'Test']"
user_000039,Kunst,"['8. Klasse', '9. Klasse']","8. Klasse, 9. Klasse",[],,Sek II,high,browser,expert,215,4,"['Spiele', 'Test']"
user_000040,Kunst,['2. Klasse'],2. Klasse,['Deutsch'],Deutsch,Sek I Mittlere Schulform,low,power_user,expert,269,2,"['Spiele', 'Videos', 'Test']"
user_000041,Mathematik,"['2. Klasse', '3. Klasse']","2. Klasse, 3. Klasse","['Kunst', 'Fachunterricht']","Kunst, Fachunterricht",Berufsschule,low,power_user,experienced,123,4,"['Quiz', 'Stationenlernen', 'Bildkarten']"
user_000042,Englisch,"['4. Klasse', '5. Klasse']","4. Klasse, 5. Klasse",[],,Förderunterricht,high,browser,novice,216,5,"['Experimente', 'Interaktives Material']"
user_000043,Fachunterricht,['1. Klasse'],1. Klasse,"['Deutsch', 'Englisch']","Deutsch, Englisch",Grundschule,medium,focused,experienced,471,1,"['Stundenentwürfe', 'Bildkarten']"
user_000044,Kunst,"['1. Klasse', '2. Klasse']","1. Klasse, 2. Klasse",['Mathematik'],Mathematik,Sek II,high,focused,experienced,456,4,"['Mal- und Bastelvorlagen', 'Interaktives Material', 'Fördermaterial/Inklusion']"
user_000045,Deutsch,"['9. Klasse', '10. Klasse']","9. Klasse, 10. Klasse","['Englisch', 'Kunst']","Englisch, Kunst",Grundschule,medium,focused,experienced,60,2,"['Spiele', 'Mal- und Bastelvorlagen', 'Interaktives Material']"
user_000046,Englisch,"['4. Klasse', '5. Klasse', '6. Klasse']","4. Klasse, 5. Klasse, 6. Klasse",['Deutsch'],Deutsch,Sek II,low,focused,expert,590,4,"['Bildkarten', 'Spiele', 'Interaktives Material']"
user_000047,Englisch,"['3. Klasse', '4. Klasse']","3. Klasse, 4. Klasse",['Mathematik'],Mathematik,Förderunterricht,low,focused,expert,680,3,"['Arbeitsblätter', 'Präsentationen/Tafelbilder', 'Interaktives Material']"
user_000048,Fachunterricht,"['6. Klasse', '7. Klasse']","6. Klasse, 7. Klasse",['Mathematik'],Mathematik,Berufsschule,high,focused,experienced,450,3,"['Test', 'Mal- und Bastelvorlagen', 'Stundenentwürfe']"
user_000049,Fachunterricht,"['3. Klasse', '4. Klasse']","3. Klasse, 4. Klasse",[],,Förderunterricht,low,browser,novice,352,3,"['Experimente', 'Stationenlernen', 'Fördermaterial/Inklusion', 'Spiele']"
user_000050,Kunst,"['1. Klasse', '2. Klasse', '3. Klasse']","1. Klasse, 2. Klasse, 3. Klasse","['Englisch', 'Mathematik']","Englisch, Mathematik",Berufsschule,medium,power_user,novice,321,3,"['Präsentationen/Tafelbilder', 'Test', 'Experimente']"
user_000051,Mathematik,"['12. Klasse', '13. Klasse']","12. Klasse, 13. Klasse",['Deutsch'],Deutsch,Förderunterricht,high,power_user,experienced,411,4,"['Test', 'Bildkarten', 'Klassenarbeiten']"
user_000052,Fachunterricht,['12. Klasse'],12. Klasse,"['Englisch', 'Deutsch']","Englisch, Deutsch",Sek II,high,browser,experienced,241,3,"['Interaktives Material', 'Experimente']"
user_000053,Fachunterricht,"['9. Klasse', '10. Klasse']","9. Klasse, 10. Klasse","['Mathematik', 'Kunst']","Mathematik, Kunst",Sek I Gymnasium,low,browser,experienced,261,3,"['Mal- und Bastelvorlagen', 'Experimente', 'Interaktives Material']"
user_000054,Deutsch,['11. Klasse'],11. Klasse,"['Mathematik', 'Fachunterricht']","Mathematik, Fachunterricht",Sek I Gymnasium,low,focused,novice,470,3,"['Test', 'Stundenentwürfe', 'Quiz']"
user_000055,Englisch,"['5. Klasse', '6. Klasse', '7. Klasse']","5. Klasse, 6. Klasse, 7. Klasse",[],,Sek II,high,focused,expert,326,5,"['Mal- und Bastelvorlagen', 'Bildkarten', 'Quiz']"
user_000056,Mathematik,"['4. Klasse', '5. Klasse']","4. Klasse, 5. Klasse",['Kunst'],Kunst,Berufsschule,medium,power_user,expert,472,2,"['Quiz', 'Merkblätter']"
user_000057,Deutsch,['7. Klasse'],7. Klasse,"['Mathematik', 'Englisch']","Mathematik, Englisch",Sek I Gymnasium,low,focused,expert,683,3,"['Mal- und Bastelvorlagen', 'Stundenentwürfe', 'Test', 'Arbeitsblätter']"
user_000058,Deutsch,['7. Klasse'],7. Klasse,"['Englisch', 'Mathematik']","Englisch, Mathematik",Sek I Mittlere Schulform,medium,browser,experienced,332,4,"['Stundenentwürfe', 'Arbeitsblätter', 'Spiele']"
user_000059,Kunst,['6. Klasse'],6. Klasse,['Fachunterricht'],Fachunterricht,Grundschule,high,browser,experienced,231,4,"['Klassenarbeiten', 'Fördermaterial/Inklusion', 'Unterrichtsreihen']"
user_000060,Englisch,"['5. Klasse', '6. Klasse', '7. Klasse']","5. Klasse, 6. Klasse, 7. Klasse",['Fachunterricht'],Fachunterricht,Sek I Mittlere Schulform,high,browser,experienced,76,2,"['Arbeitsblätter', 'Experimente', 'Stundenentwürfe']"
user_000061,Kunst,"['8. Klasse', '9. Klasse', '10. Klasse']","8. Klasse, 9. Klasse, 10. Klasse","['Mathematik', 'Deutsch']","Mathematik, Deutsch",Berufsschule,low,power_user,experienced,212,5,"['Mal- und Bastelvorlagen', 'Test', 'Interaktives Material', 'Stundenentwürfe']"
user_000062,Englisch,"['3. Klasse', '4. Klasse']","3. Klasse, 4. Klasse",['Mathematik'],Mathematik,Sek II,low,browser,novice,682,1,"['Experimente', 'Interaktives Material', 'Arbeitsblätter']"
user_000063,Kunst,"['3. Klasse', '4. Klasse']","3. Klasse, 4. Klasse",['Fachunterricht'],Fachunterricht,Förderunterricht,medium,focused,novice,181,6,"['Mal- und Bastelvorlagen', 'Merkblätter', 'Bildkarten']"
user_000064,Fachunterricht,"['6. Klasse', '7. Klasse']","6. Klasse, 7. Klasse",[],,Förderunterricht,medium,focused,experienced,93,5,"['Test', 'Interaktives Material']"
user_000065,Deutsch,['13. Klasse'],13. Klasse,[],,Berufsschule,medium,browser,expert,650,6,"['Bildkarten', 'Unterrichtsreihen', 'Präsentationen/Tafelbilder', 'Fördermaterial/Inklusion']"
user_000066,Deutsch,"['3. Klasse', '4. Klasse', '5. Klasse']","3. Klasse, 4. Klasse, 5. Klasse","['Mathematik', 'Englisch']","Mathematik, Englisch",Berufsschule,high,focused,experienced,492,4,"['Videos', 'Unterrichtsreihen', 'Präsentationen/Tafelbilder', 'Spiele']"
user_000067,Englisch,"['8. Klasse', '9. Klasse']","8. Klasse, 9. Klasse","['Deutsch', 'Fachunterricht']","Deutsch, Fachunterricht",Sek II,low,browser,expert,468,6,"['Interaktives Material', 'Stationenlernen', 'Quiz']"
user_000068,Mathematik,"['12. Klasse', '13. Klasse']","12. Klasse, 13. Klasse","['Fachunterricht', 'Kunst']","Fachunterricht, Kunst",Förderunterricht,high,focused,novice,319,2,"['Test', 'Mal- und Bastelvorlagen']"
user_000069,Mathematik,"['11. Klasse', '12. Klasse']","11. Klasse, 12. Klasse","['Kunst', 'Deutsch']","Kunst, Deutsch",Berufsschule,high,browser,novice,189,3,"['Klassenarbeiten', 'Quiz']"
user_000070,Deutsch,"['2. Klasse', '3. Klasse', '4. Klasse']","2. Klasse, 3. Klasse, 4. Klasse","['Kunst', 'Fachunterricht']","Kunst, Fachunterricht",Förderunterricht,medium,browser,novice,42,4,"['Quiz', 'Präsentationen/Tafelbilder', 'Test', 'Arbeitsblätter']"
user_000071,Fachunterricht,"['5. Klasse', '6. Klasse']","5. Klasse, 6. Klasse",['Englisch'],Englisch,Förderunterricht,medium,browser,experienced,601,4,"['Spiele', 'Quiz', 'Interaktives Material']"
user_000072,Deutsch,['2. Klasse'],2. Klasse,['Fachunterricht'],Fachunterricht,Sek I Gymnasium,medium,focused,experienced,599,4,"['Test', 'Stundenentwürfe', 'Spiele', 'Mal- und Bastelvorlagen']"
user_000073,Kunst,['4. Klasse'],4. Klasse,"['Mathematik', 'Deutsch']","Mathematik, Deutsch",Sek II,low,focused,novice,564,2,"['Experimente', 'Stationenlernen', 'Klassenarbeiten', 'Mal- und Bastelvorlagen']"
user_000074,Englisch,"['4. Klasse', '5. Klasse', '6. Klasse']","4. Klasse, 5. Klasse, 6. Klasse",[],,Kita / Vorschule,high,power_user,experienced,441,8,"['Experimente', 'Präsentationen/Tafelbilder', 'Merkblätter']"
user_000075,Kunst,"['7. Klasse', '8. Klasse']","7. Klasse, 8. Klasse",['Englisch'],Englisch,Sek I Gymnasium,low,focused,novice,678,1,"['Quiz', 'Bildkarten']"
user_000076,Deutsch,"['6. Klasse', '7. Klasse', '8. Klasse']","6. Klasse, 7. Klasse, 8. Klasse","['Kunst', 'Englisch']","Kunst, Englisch",Berufsschule,medium,browser,expert,181,5,"['Unterrichtsreihen', 'Mal- und Bastelvorlagen', 'Klassenarbeiten']"
user_000077,Englisch,"['2. Klasse', '3. Klasse']","2. Klasse, 3. Klasse",['Mathematik'],Mathematik,Berufsschule,high,browser,expert,693,7,"['Interaktives Material', 'Präsentationen/Tafelbilder', 'Merkblätter', 'Spiele']"
user_000078,Kunst,"['11. Klasse', '12. Klasse']","11. Klasse, 12. Klasse",[],,Grundschule,medium,browser,experienced,280,1,"['Arbeitsblätter', 'Unterrichtsreihen', 'Videos', 'Stationenlernen']"
user_000079,Deutsch,['10. Klasse'],10. Klasse,[],,Förderunterricht,medium,power_user,novice,75,3,"['Präsentationen/Tafelbilder', 'Merkblätter']"
user_000080,Englisch,['10. Klasse'],10. Klasse,[],,Kita / Vorschule,high,browser,experienced,678,3,"['Test', 'Unterrichtsreihen', 'Klassenarbeiten', 'Stationenlernen']"
user_000081,Englisch,"['5. Klasse', '6. Klasse']","5. Klasse, 6. Klasse","['Mathematik', 'Deutsch']","Mathematik, Deutsch",Sek I Gymnasium,medium,browser,experienced,390,3,"['Interaktives Material', 'Präsentationen/Tafelbilder', 'Quiz']"
user_000082,Mathematik,"['5. Klasse', '6. Klasse', '7. Klasse']","5. Klasse, 6. Klasse, 7. Klasse",['Englisch'],Englisch,Kita / Vorschule,low,browser,experienced,596,3,"['Fördermaterial/Inklusion', 'Interaktives Material', 'Klassenarbeiten']"
user_000083,Fachunterricht,"['11. Klasse', '12. Klasse']","11. Klasse, 12. Klasse","['Kunst', 'Englisch']","Kunst, Englisch",Kita / Vorschule,medium,focused,experienced,453,7,"['Merkblätter', 'Bildkarten']"
user_000084,Deutsch,['6. Klasse'],6. Klasse,[],,Sek II,medium,browser,novice,451,5,"['Interaktives Material', 'Test', 'Fördermaterial/Inklusion']"
user_000085,Englisch,"['2. Klasse', '3. Klasse']","2. Klasse, 3. Klasse",[],,Berufsschule,medium,browser,novice,636,5,"['Interaktives Material', 'Fördermaterial/Inklusion']"
user_000086,Kunst,"['11. Klasse', '12. Klasse', '13. Klasse']","11. Klasse, 12. Klasse, 13. Klasse",[],,Sek I Mittlere Schulform,medium,focused,novice,698,1,"['Quiz', 'Mal- und Bastelvorlagen']"
user_000087,Englisch,"['7. Klasse', '8. Klasse']","7. Klasse, 8. Klasse",['Deutsch'],Deutsch,Kita / Vorschule,medium,focused,expert,255,6,"['Test', 'Präsentationen/Tafelbilder', 'Klassenarbeiten', 'Arbeitsblätter']"
user_000088,Fachunterricht,['3. Klasse'],3. Klasse,"['Deutsch', 'Kunst']","Deutsch, Kunst",Sek I Gymnasium,medium,focused,experienced,416,4,"['Interaktives Material', 'Arbeitsblätter', 'Klassenarbeiten']"
user_000089,Mathematik,['10. Klasse'],10. Klasse,"['Kunst', 'Fachunterricht']","Kunst, Fachunterricht",Berufsschule,high,focused,experienced,94,3,"['Test', 'Interaktives Material', 'Arbeitsblätter']"
user_000090,Kunst,"['3. Klasse', '4. Klasse']","3. Klasse, 4. Klasse","['Mathematik', 'Deutsch']","Mathematik, Deutsch",Grundschule,medium,power_user,expert,530,6,"['Spiele', 'Experimente', 'Unterrichtsreihen']"
user_000091,Englisch,"['7. Klasse', '8. Klasse']","7. Klasse, 8. Klasse",['Kunst'],Kunst,Berufsschule,medium,power_user,expert,142,4,"['Interaktives Material', 'Stundenentwürfe', 'Stationenlernen', 'Merkblätter']"
user_000092,Englisch,['10. Klasse'],10. Klasse,"['Deutsch', 'Mathematik']","Deutsch, Mathematik",Sek I Mittlere Schulform,low,browser,experienced,287,7,"['Videos', 'Arbeitsblätter', 'Interaktives Material']"
user_000093,Deutsch,"['2. Klasse', '3. Klasse']","2. Klasse, 3. Klasse","['Mathematik', 'Fachunterricht']","Mathematik, Fachunterricht",Förderunterricht,medium,power_user,expert,632,4,"['Spiele', 'Bildkarten', 'Quiz']"
user_000094,Englisch,"['10. Klasse', '11. Klasse', '12. Klasse']","10. Klasse, 11. Klasse, 12. Klasse","['Mathematik', 'Fachunterricht']","Mathematik, Fachunterricht",Sek I Gymnasium,low,browser,expert,85,5,"['Spiele', 'Quiz', 'Präsentationen/Tafelbilder']"
user_000095,Mathematik,"['1. Klasse', '2. Klasse', '3. Klasse']","1. Klasse, 2. Klasse, 3. Klasse",['Kunst'],Kunst,Berufsschule,high,power_user,novice,523,7,"['Unterrichtsreihen', 'Spiele', 'Mal- und Bastelvorlagen', 'Stundenentwürfe']"
user_000096,Fachunterricht,"['2. Klasse', '3. Klasse']","2. Klasse, 3. Klasse","['Kunst', 'Mathematik']","Kunst, Mathematik",Sek I Gymnasium,medium,focused,novice,209,3,"['Unterrichtsreihen', 'Spiele', 'Merkblätter']"
user_000097,Kunst,['11. Klasse'],11. Klasse,['Deutsch'],Deutsch,Förderunterricht,medium,browser,novice,600,5,"['Videos', 'Arbeitsblätter', 'Stundenentwürfe']"
user_000098,Kunst,"['5. Klasse', '6. Klasse']","5. Klasse, 6. Klasse",['Fachunterricht'],Fachunterricht,Förderunterricht,low,focused,experienced,142,4,"['Fördermaterial/Inklusion', 'Klassenarbeiten', 'Präsentationen/Tafelbilder', 'Merkblätter']"
user_000099,Kunst,"['6. Klasse', '7. Klasse']","6. Klasse, 7. Klasse",[],,Sek II,medium,focused,novice,628,6,"['Unterrichtsreihen', 'Präsentationen/Tafelbilder', 'Interaktives Material']"
user_000100,Fachunterricht,"['12. Klasse', '13. Klasse']","12. Klasse, 13. Klasse","['Mathematik', 'Englisch']","Mathematik, Englisch",Sek I Mittlere Schulform,low,focused,experienced,221,4,"['Arbeitsblätter', 'Stationenlernen']"
user_000101,Kunst,"['2. Klasse', '3. Klasse']","2. Klasse, 3. Klasse",['Englisch'],Englisch,Berufsschule,medium,focused,experienced,82,4,"['Bildkarten', 'Unterrichtsreihen']"
user_000102,Fachunterricht,"['12. Klasse', '13. Klasse']","12. Klasse, 13. Klasse",['Deutsch'],Deutsch,Kita / Vorschule,high,power_user,experienced,347,3,"['Mal- und Bastelvorlagen', 'Merkblätter']"
user_000103,Kunst,"['11. Klasse', '12. Klasse']","11. Klasse, 12. Klasse","['Mathematik', 'Deutsch']","Mathematik, Deutsch",Förderunterricht,medium,focused,novice,206,6,"['Merkblätter', 'Quiz', 'Experimente']"
user_000104,Kunst,"['5. Klasse', '6. Klasse']","5. Klasse, 6. Klasse",['Fachunterricht'],Fachunterricht,Sek I Gymnasium,medium,focused,novice,280,5,"['Fördermaterial/Inklusion', 'Arbeitsblätter', 'Experimente']"
user_000105,Kunst,['11. Klasse'],11. Klasse,['Mathematik'],Mathematik,Sek I Mittlere Schulform,medium,focused,novice,122,6,"['Experimente', 'Stundenentwürfe', 'Spiele']"
user_000106,Mathematik,"['9. Klasse', '10. Klasse']","9. Klasse, 10. Klasse",[],,Sek II,medium,focused,novice,349,3,"['Videos', 'Unterrichtsreihen', 'Fördermaterial/Inklusion', 'Stationenlernen']"
user_000107,Mathematik,['3. Klasse'],3. Klasse,['Englisch'],Englisch,Sek I Mittlere Schulform,high,focused,novice,408,5,"['Spiele', 'Fördermaterial/Inklusion', 'Stundenentwürfe', 'Experimente']"
user_000108,Englisch,['2. Klasse'],2. Klasse,[],,Kita / Vorschule,low,focused,experienced,322,4,"['Merkblätter', 'Test', 'Fördermaterial/Inklusion']"
user_000109,Mathematik,"['10. Klasse', '11. Klasse']","10. Klasse, 11. Klasse",[],,Sek I Gymnasium,medium,focused,novice,595,5,"['Merkblätter', 'Stationenlernen']"
user_000110,Fachunterricht,"['3. Klasse', '4. Klasse', '5. Klasse']","3. Klasse, 4. Klasse, 5. Klasse","['Kunst', 'Englisch']","Kunst, Englisch",Berufsschule,medium,power_user,experienced,630,6,"['Spiele', 'Quiz']"
user_000111,Mathematik,"['3. Klasse', '4. Klasse']","3. Klasse, 4. Klasse",['Deutsch'],Deutsch,Sek I Mittlere Schulform,medium,focused,expert,546,1,"['Klassenarbeiten', 'Fördermaterial/Inklusion']"
user_000112,Englisch,['8. Klasse'],8. Klasse,[],,Förderunterricht,low,browser,experienced,563,3,"['Bildkarten', 'Stationenlernen', 'Klassenarbeiten']"
user_000113,Fachunterricht,['8. Klasse'],8. Klasse,"['Deutsch', 'Kunst']","Deutsch, Kunst",Sek I Gymnasium,high,focused,experienced,349,5,"['Bildkarten', 'Unterrichtsreihen', 'Spiele']"
user_000114,Kunst,"['1. Klasse', '2. Klasse', '3. Klasse']","1. Klasse, 2. Klasse, 3. Klasse",['Fachunterricht'],Fachunterricht,Berufsschule,high,browser,expert,296,4,"['Experimente', 'Stundenentwürfe']"
user_000115,Deutsch,['7. Klasse'],7. Klasse,"['Fachunterricht', 'Kunst']","Fachunterricht, Kunst",Sek I Mittlere Schulform,medium,power_user,novice,103,6,"['Interaktives Material', 'Klassenarbeiten', 'Mal- und Bastelvorlagen']"
user_000116,Kunst,['4. Klasse'],4. Klasse,[],,Sek I Mittlere Schulform,high,browser,experienced,46,5,"['Präsentationen/Tafelbilder', 'Quiz']"
user_000117,Fachunterricht,"['4. Klasse', '5. Klasse']","4. Klasse, 5. Klasse","['Mathematik', 'Deutsch']","Mathematik, Deutsch",Berufsschule,medium,focused,experienced,270,3,"['Stundenentwürfe', 'Merkblätter', 'Interaktives Material']"
user_000118,Mathematik,"['12. Klasse', '13. Klasse']","12. Klasse, 13. Klasse",[],,Sek I Mittlere Schulform,low,focused,experienced,517,3,"['Stationenlernen', 'Arbeitsblätter', 'Videos']"
user_000119,Mathematik,"['10. Klasse', '11. Klasse']","10. Klasse, 11. Klasse","['Englisch', 'Kunst']","Englisch, Kunst",Sek II,medium,browser,expert,142,6,"['Präsentationen/Tafelbilder', 'Merkblätter']"
user_000120,Englisch,"['11. Klasse', '12. Klasse', '13. Klasse']","11. Klasse, 12. Klasse, 13. Klasse","['Kunst', 'Deutsch']","Kunst, Deutsch",Sek I Mittlere Schulform,high,browser,novice,314,5,"['Stundenentwürfe', 'Klassenarbeiten', 'Unterrichtsreihen']"
user_000121,Mathematik,"['7. Klasse', '8. Klasse', '9. Klasse']","7. Klasse, 8. Klasse, 9. Klasse",[],,Grundschule,medium,focused,experienced,592,3,"['Experimente', 'Test', 'Quiz']"
